"행정구역","2024년05월_계_총인구수","2024년05월_계_연령구간인구수","2024년05월_계_0~9세","2024년05월_계_10~19세","2024년05월_계_20~29세","2024년05월_계_30~39세","2024년05월_계_40~49세","2024년05월_계_50~59세","2024년05월_계_60~69세","2024년05월_계_70~79세","2024년05월_계_80~89세","2024년05월_계_90~99세","2024년05월_계_100세 이상","2024년05월_남_총인구수","2024년05월_남_연령구간인구수","2024년05월_남_0~9세","2024년05월_남_10~19세","2024년05월_남_20~29세","2024년05월_남_30~39세","2024년05월_남_40~49세","2024년05월_남_50~59세","2024년05월_남_60~69세","2024년05월_남_70~79세","2024년05월_남_80~89세","2024년05월_남_90~99세","2024년05월_남_100세 이상","2024년05월_여_총인구수","2024년05월_여_연령구간인구수","2024년05월_여_0~9세","2024년05월_여_10~19세","2024년05월_여_20~29세","2024년05월_여_30~39세","2024년05월_여_40~49세","2024년05월_여_50~59세","2024년05월_여_60~69세","2024년05월_여_70~79세","2024년05월_여_80~89세","2024년05월_여_90~99세","2024년05월_여_100세 이상"
"전국  (0000000000)","51,277,347","51,277,347","3,244,705","4,632,527","6,090,603","6,585,093","7,827,038","8,726,213","7,725,856","4,041,911","2,079,694","314,961","8,746","25,536,793","25,536,793","1,662,718","2,382,354","3,177,057","3,431,128","3,979,868","4,401,679","3,803,912","1,858,425","765,298","72,785","1,569","25,740,554","25,740,554","1,581,987","2,250,173","2,913,546","3,153,965","3,847,170","4,324,534","3,921,944","2,183,486","1,314,396","242,176","7,177"
"서울특별시  (1100000000)","9,371,930","9,371,930","499,875","729,437","1,340,759","1,431,670","1,403,182","1,495,784","1,323,704","750,707","347,948","47,360","1,504","4,528,234","4,528,234","256,303","372,685","633,597","716,098","694,149","735,377","626,541","339,352","141,052","12,725","355","4,843,696","4,843,696","243,572","356,752","707,162","715,572","709,033","760,407","697,163","411,355","206,896","34,635","1,149"
"부산광역시  (2600000000)","3,282,751","3,282,751","188,948","262,934","369,420","389,821","478,626","540,440","562,390","326,516","145,073","18,147","436","1,599,048","1,599,048","96,813","134,795","189,353","201,009","241,902","264,241","264,597","147,134","54,969","4,169","66","1,683,703","1,683,703","92,135","128,139","180,067","188,812","236,724","276,199","297,793","179,382","90,104","13,978","370"
"대구광역시  (2700000000)","2,367,803","2,367,803","146,691","212,656","275,253","280,691","350,673","419,806","370,680","198,457","99,455","13,180","261","1,162,463","1,162,463","75,324","109,458","144,896","149,754","173,888","204,875","177,234","87,766","36,139","3,092","37","1,205,340","1,205,340","71,367","103,198","130,357","130,937","176,785","214,931","193,446","110,691","63,316","10,088","224"
"인천광역시  (2800000000)","3,009,873","3,009,873","199,369","271,852","358,787","417,484","478,415","517,868","450,332","203,112","96,617","15,540","497","1,504,618","1,504,618","102,184","139,507","185,744","217,789","246,000","258,057","222,328","94,370","35,183","3,360","96","1,505,255","1,505,255","97,185","132,345","173,043","199,695","232,415","259,811","228,004","108,742","61,434","12,180","401"
"광주광역시  (2900000000)","1,414,254","1,414,254","96,572","146,313","186,719","173,599","224,220","242,776","187,319","100,454","48,862","7,217","203","698,255","698,255","49,403","75,447","97,537","89,774","111,792","120,100","89,705","44,457","18,367","1,650","23","715,999","715,999","47,169","70,866","89,182","83,825","112,428","122,676","97,614","55,997","30,495","5,567","180"
"대전광역시  (3000000000)","1,441,119","1,441,119","94,268","136,971","197,113","188,850","216,620","244,497","203,974","101,423","49,705","7,480","218","718,696","718,696","48,514","70,569","103,110","100,109","108,285","121,850","98,958","46,695","18,704","1,865","37","722,423","722,423","45,754","66,402","94,003","88,741","108,335","122,647","105,016","54,728","31,001","5,615","181"
"울산광역시  (3100000000)","1,100,609","1,100,609","76,310","109,084","119,947","136,450","175,851","204,284","172,245","73,891","28,585","3,870","92","566,063","566,063","39,193","56,886","68,436","74,463","90,758","102,463","86,950","35,694","10,441","768","11","534,546","534,546","37,117","52,198","51,511","61,987","85,093","101,821","85,295","38,197","18,144","3,102","81"
"세종특별자치시  (3600000000)","387,774","387,774","42,556","51,264","37,201","59,072","77,119","55,745","37,887","16,937","8,373","1,580","40","193,044","193,044","21,662","25,867","18,879","29,157","38,021","29,159","18,879","8,048","3,038","330","4","194,730","194,730","20,894","25,397","18,322","29,915","39,098","26,586","19,008","8,889","5,335","1,250","36"
"경기도  (4100000000)","13,654,710","13,654,710","966,673","1,318,138","1,656,250","1,887,017","2,235,909","2,352,886","1,869,159","868,065","432,273","66,404","1,936","6,866,117","6,866,117","494,886","674,486","870,382","985,144","1,140,568","1,185,411","932,776","402,244","163,585","16,196","439","6,788,593","6,788,593","471,787","643,652","785,868","901,873","1,095,341","1,167,475","936,383","465,821","268,688","50,208","1,497"
"강원특별자치도  (5100000000)","1,522,952","1,522,952","88,617","127,804","159,949","158,095","204,559","262,499","277,871","144,359","85,644","13,135","420","765,997","765,997","45,182","66,287","89,713","84,589","104,143","135,431","139,369","67,063","31,211","2,906","103","756,955","756,955","43,435","61,517","70,236","73,506","100,416","127,068","138,502","77,296","54,433","10,229","317"
"충청북도  (4300000000)","1,591,201","1,591,201","100,603","143,605","178,101","187,569","227,682","273,604","260,582","131,180","76,212","11,783","280","809,694","809,694","51,624","74,103","98,691","102,881","118,075","140,761","132,002","61,752","27,230","2,525","50","781,507","781,507","48,979","69,502","79,410","84,688","109,607","132,843","128,580","69,428","48,982","9,258","230"
"충청남도  (4400000000)","2,134,618","2,134,618","140,197","201,855","223,441","251,349","321,377","353,511","329,671","181,310","111,672","19,726","509","1,094,837","1,094,837","71,816","104,421","124,387","136,948","171,048","187,864","167,886","85,654","39,978","4,763","72","1,039,781","1,039,781","68,381","97,434","99,054","114,401","150,329","165,647","161,785","95,656","71,694","14,963","437"
"전북특별자치도  (5200000000)","1,746,912","1,746,912","99,169","162,447","186,089","172,319","240,123","303,085","286,947","174,113","104,486","17,648","486","869,631","869,631","50,638","84,051","100,920","89,924","122,898","157,439","143,417","80,140","36,216","3,929","59","877,281","877,281","48,531","78,396","85,169","82,395","117,225","145,646","143,530","93,973","68,270","13,719","427"
"전라남도  (4600000000)","1,795,717","1,795,717","104,601","157,127","173,504","168,617","237,102","311,028","308,456","191,138","123,335","20,233","576","905,860","905,860","53,428","80,843","97,202","89,298","125,558","167,892","158,504","88,434","40,563","4,063","75","889,857","889,857","51,173","76,284","76,302","79,319","111,544","143,136","149,952","102,704","82,772","16,170","501"
"경상북도  (4700000000)","2,545,421","2,545,421","146,567","216,621","242,417","257,602","350,725","444,803","453,705","256,996","151,479","23,925","581","1,286,984","1,286,984","75,327","113,411","139,154","140,516","182,573","230,552","229,036","119,834","51,404","5,116","61","1,258,437","1,258,437","71,240","103,210","103,263","117,086","168,152","214,251","224,669","137,162","100,075","18,809","520"
"경상남도  (4800000000)","3,237,140","3,237,140","203,941","314,329","313,728","347,095","497,782","584,011","535,600","274,828","142,866","22,518","442","1,630,664","1,630,664","104,951","163,268","176,691","184,165","255,841","298,388","268,065","127,439","47,451","4,342","63","1,606,476","1,606,476","98,990","151,061","137,037","162,930","241,941","285,623","267,535","147,389","95,415","18,176","379"
"제주특별자치도  (5000000000)","672,563","672,563","49,748","70,090","71,925","77,793","107,073","119,586","95,334","48,425","27,109","5,215","265","336,588","336,588","25,470","36,270","38,365","39,510","54,369","61,819","47,665","22,349","9,767","986","18","335,975","335,975","24,278","33,820","33,560","38,283","52,704","57,767","47,669","26,076","17,342","4,229","247"
